provider_id,provider_name,specialty,hospital_name,state
PR00098,HealthOne Clinic,Orthopedics,Bay Area Medical,GA
PR00099,United Care,Cardiology,St. Mary Hospital,NC
PR00100,Wellness Center,Orthopedics,Houston General,NY
PR00101,CarePlus Hospital,Dermatology,Clear Lake Medical,NY
PR00102,United Care,Cardiology,St. Mary Hospital,CA
PR00103,HealthOne Clinic,Dermatology,Houston General,IL
PR00104,Metro Medical,Cardiology,Houston General,AZ
PR00105,HealthOne Clinic,Neurology,Bay Area Medical,CA
PR00106,United Care,Primary Care,St. Mary Hospital,NC
PR00107,Metro Medical,Cardiology,Clear Lake Medical,CA
PR00108,United Care,Cardiology,Bay Area Medical,NY
PR00109,HealthOne Clinic,Orthopedics,Houston General,AZ
PR00110,Metro Medical,Dermatology,St. Mary Hospital,NY
PR00111,United Care,Primary Care,Bay Area Medical,NC
PR00112,HealthOne Clinic,Orthopedics,Houston General,CA
PR00113,United Care,Cardiology,Clear Lake Medical,IL
PR00114,United Care,Pediatrics,Bay Area Medical,NY
PR00115,Metro Medical,Primary Care,St. Mary Hospital,GA
PR00116,United Care,Orthopedics,St. Mary Hospital,FL
PR00117,United Care,Neurology,Houston General,NY
PR00118,United Care,Orthopedics,Northside Health,NY
PR00119,CarePlus Hospital,Neurology,Northside Health,FL
PR00120,Metro Medical,Pediatrics,St. Mary Hospital,NC
PR00121,CarePlus Hospital,Orthopedics,St. Mary Hospital,TX
PR00122,United Care,Neurology,St. Mary Hospital,IL
PR00123,CarePlus Hospital,Neurology,Bay Area Medical,AZ
PR00124,CarePlus Hospital,Dermatology,Bay Area Medical,TX
PR00125,Metro Medical,Primary Care,Northside Health,GA
PR00126,Metro Medical,Pediatrics,Houston General,GA
PR00127,CarePlus Hospital,Neurology,Clear Lake Medical,GA
PR00128,United Care,Pediatrics,Clear Lake Medical,AZ
PR00129,CarePlus Hospital,Cardiology,Houston General,GA
PR00130,United Care,Neurology,St. Mary Hospital,TX
PR00131,Wellness Center,Neurology,Clear Lake Medical,IL
PR00132,Wellness Center,Neurology,Clear Lake Medical,NC
PR00133,CarePlus Hospital,Primary Care,Northside Health,CA
PR00134,Metro Medical,Neurology,Bay Area Medical,TX
PR00135,HealthOne Clinic,Orthopedics,St. Mary Hospital,GA
PR00136,United Care,Pediatrics,Bay Area Medical,TX
PR00137,HealthOne Clinic,Primary Care,Houston General,TX
PR00138,CarePlus Hospital,Primary Care,St. Mary Hospital,TX
PR00139,HealthOne Clinic,Pediatrics,Northside Health,IL
PR00140,United Care,Cardiology,Houston General,FL
PR00141,CarePlus Hospital,Neurology,Bay Area Medical,IL
PR00142,Metro Medical,Neurology,Clear Lake Medical,TX
PR00143,United Care,Cardiology,St. Mary Hospital,TX
PR00144,CarePlus Hospital,Cardiology,St. Mary Hospital,IL
PR00145,HealthOne Clinic,Dermatology,Bay Area Medical,IL
PR00146,United Care,Orthopedics,St. Mary Hospital,IL
PR00147,United Care,Orthopedics,Clear Lake Medical,CA
PR00148,United Care,Neurology,Bay Area Medical,NY
PR00149,Metro Medical,Dermatology,Bay Area Medical,IL
PR00150,HealthOne Clinic,Cardiology,Houston General,AZ
PR00151,Metro Medical,Pediatrics,Northside Health,CA
PR00152,Metro Medical,Orthopedics,Bay Area Medical,GA
PR00153,HealthOne Clinic,Primary Care,St. Mary Hospital,CA
PR00154,Metro Medical,Pediatrics,Bay Area Medical,TX
PR00155,Wellness Center,Dermatology,Houston General,GA
PR00156,United Care,Pediatrics,St. Mary Hospital,IL
PR00157,Metro Medical,Cardiology,Bay Area Medical,TX
PR00158,CarePlus Hospital,Dermatology,Bay Area Medical,GA
PR00159,CarePlus Hospital,Cardiology,Clear Lake Medical,CA
PR00160,United Care,Primary Care,Clear Lake Medical,IL
PR00161,HealthOne Clinic,Cardiology,St. Mary Hospital,CA
PR00162,Wellness Center,Neurology,Houston General,CA
PR00163,United Care,Orthopedics,Bay Area Medical,AZ
PR00164,Wellness Center,Pediatrics,Northside Health,GA
PR00165,United Care,Primary Care,Houston General,IL
PR00166,Metro Medical,Cardiology,Clear Lake Medical,GA
PR00167,United Care,Primary Care,St. Mary Hospital,CA
PR00168,CarePlus Hospital,Pediatrics,Bay Area Medical,GA
PR00169,United Care,Orthopedics,Clear Lake Medical,GA
PR00170,HealthOne Clinic,Primary Care,Houston General,GA
PR00171,HealthOne Clinic,Neurology,Houston General,TX
PR00172,Wellness Center,Orthopedics,Northside Health,NY
PR00173,Metro Medical,Dermatology,Clear Lake Medical,TX
PR00174,HealthOne Clinic,Pediatrics,Houston General,IL
PR00175,Wellness Center,Dermatology,St. Mary Hospital,TX
PR00176,Metro Medical,Dermatology,Northside Health,FL
PR00177,HealthOne Clinic,Primary Care,Houston General,FL
PR00178,HealthOne Clinic,Cardiology,Houston General,AZ
PR00179,Wellness Center,Neurology,St. Mary Hospital,NY
PR00180,Metro Medical,Primary Care,St. Mary Hospital,FL
PR00181,CarePlus Hospital,Primary Care,Clear Lake Medical,IL
PR00182,HealthOne Clinic,Neurology,Houston General,NY
PR00183,HealthOne Clinic,Cardiology,Clear Lake Medical,TX
PR00184,Wellness Center,Cardiology,Houston General,TX
PR00185,CarePlus Hospital,Dermatology,Clear Lake Medical,TX
PR00186,HealthOne Clinic,Dermatology,Houston General,IL
PR00187,Wellness Center,Neurology,Clear Lake Medical,CA
PR00188,Metro Medical,Cardiology,Bay Area Medical,GA
PR00189,Wellness Center,Dermatology,Houston General,AZ
PR00190,Metro Medical,Orthopedics,Clear Lake Medical,CA
PR00191,HealthOne Clinic,Cardiology,Clear Lake Medical,IL
PR00192,CarePlus Hospital,Dermatology,St. Mary Hospital,NY
PR00193,United Care,Dermatology,St. Mary Hospital,AZ
PR00194,CarePlus Hospital,Primary Care,Northside Health,IL
PR00195,Metro Medical,Cardiology,St. Mary Hospital,NY
PR00196,Metro Medical,Cardiology,Clear Lake Medical,AZ
PR00197,Metro Medical,Dermatology,Houston General,GA
PR00198,United Care,Primary Care,Bay Area Medical,NY
PR00199,Metro Medical,Cardiology,Bay Area Medical,FL
PR00200,Metro Medical,Neurology,Clear Lake Medical,NC
